,date,au_price,au_open,au_high,au_low,au_change_percent
1099,2015-09-02,"1,140.11","1,134.61","1,147.57","1,134.11",0.49%
1100,2015-09-01,"1,134.50","1,132.85","1,136.80","1,125.56",0.05%
1101,2015-08-31,"1,133.96","1,125.40","1,141.20","1,123.30",0.73%
1102,2015-08-28,"1,125.71","1,125.25","1,129.80","1,117.75",0.01%
1103,2015-08-27,"1,125.55","1,140.75","1,147.00","1,117.35",-1.32%
1104,2015-08-26,"1,140.65","1,155.05","1,157.20","1,134.50",-1.25%
1105,2015-08-25,"1,155.05","1,161.95","1,167.90","1,146.35",-0.52%
1106,2015-08-24,"1,161.05","1,153.51","1,168.80","1,148.45",0.68%
1107,2015-08-21,"1,153.16","1,133.55","1,154.50","1,132.41",1.65%
1108,2015-08-20,"1,134.46","1,117.61","1,134.66","1,115.95",1.47%
1109,2015-08-19,"1,118.01","1,117.51","1,121.60","1,109.15",0.03%
1110,2015-08-18,"1,117.66","1,113.95","1,123.05","1,113.30",0.32%
1111,2015-08-17,"1,114.11","1,114.76","1,121.40","1,111.40",-0.08%
1112,2015-08-14,"1,115.05","1,125.06","1,126.71","1,113.02",-0.91%
1113,2015-08-13,"1,125.30","1,108.51","1,125.80","1,101.35",1.47%
1114,2015-08-12,"1,109.01","1,104.01","1,119.40","1,093.25",0.41%
1115,2015-08-11,"1,104.51","1,094.00","1,109.20","1,089.40",0.94%
1116,2015-08-10,"1,094.20","1,089.00","1,099.90","1,082.76",0.44%
1117,2015-08-07,"1,089.41","1,084.50","1,094.30","1,083.20",0.40%
1118,2015-08-06,"1,085.05","1,087.19","1,092.16","1,082.45",-0.22%
1119,2015-08-05,"1,087.45","1,085.73","1,095.05","1,080.60",0.09%
1120,2015-08-04,"1,086.50","1,094.86","1,098.15","1,085.17",-0.84%
1121,2015-08-03,"1,095.65","1,088.41","1,103.38","1,079.50",0.61%
1122,2015-07-31,"1,088.99","1,096.26","1,099.82","1,081.85",-0.70%
1123,2015-07-30,"1,096.69","1,095.10","1,101.85","1,089.83",0.12%
1124,2015-07-29,"1,095.35","1,093.91","1,099.00","1,091.00",0.08%
1125,2015-07-28,"1,094.42","1,099.15","1,105.30","1,088.79",-0.43%
1126,2015-07-27,"1,099.10","1,090.10","1,102.35","1,077.00",0.76%
1127,2015-07-24,"1,090.80","1,094.10","1,106.00","1,086.61",-0.24%
1128,2015-07-23,"1,093.45","1,100.56","1,103.56","1,086.89",-0.72%
1129,2015-07-22,"1,101.41","1,098.15","1,109.87","1,096.65",0.41%
1130,2015-07-21,"1,096.95","1,132.95","1,133.35","1,088.05",-3.28%
1131,2015-07-20,"1,134.10","1,145.11","1,146.10","1,130.70",-0.96%
1132,2015-07-17,"1,145.15","1,148.36","1,149.90","1,142.10",-0.39%
